REF_DATE,GEO,DGUID,Type of fuel sales,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-93,Canada,2016A000011124,Net sales of gasoline,Litres,203,thousands,3,v74752,1.1,2416519,,,,0
Jan-93,Canada,2016A000011124,Gross sales of gasoline,Litres,203,thousands,3,v74765,1.2,2490203,,,,0
Jan-93,Newfoundland and Labrador,2016A000210,Net sales of gasoline,Litres,203,thousands,3,v74753,2.1,43081,,,,0
Jan-93,Newfoundland and Labrador,2016A000210,Gross sales of gasoline,Litres,203,thousands,3,v74766,2.2,44192,,,,0
Jan-93,Prince Edward Island,2016A000211,Net sales of gasoline,Litres,203,thousands,3,v74757,3.1,11087,,,,0
Jan-93,Prince Edward Island,2016A000211,Gross sales of gasoline,Litres,203,thousands,3,v74770,3.2,11223,,,,0
Jan-93,Nova Scotia,2016A000212,Net sales of gasoline,Litres,203,thousands,3,v74758,4.1,55858,,,,0
Jan-93,Nova Scotia,2016A000212,Gross sales of gasoline,Litres,203,thousands,3,v74771,4.2,56781,,,,0
Jan-93,New Brunswick,2016A000213,Net sales of gasoline,Litres,203,thousands,3,v74759,5.1,68468,,,,0
Jan-93,New Brunswick,2016A000213,Gross sales of gasoline,Litres,203,thousands,3,v74772,5.2,68914,,,,0
Jan-93,Quebec,2016A000224,Net sales of gasoline,Litres,203,thousands,3,v74760,6.1,524780,,,,0
Jan-93,Quebec,2016A000224,Gross sales of gasoline,Litres,203,thousands,3,v74773,6.2,527470,,,,0
Jan-93,Ontario,2016A000235,Net sales of gasoline,Litres,203,thousands,3,v74761,7.1,931395,,,,0
Jan-93,Ontario,2016A000235,Gross sales of gasoline,Litres,203,thousands,3,v74774,7.2,948551,,,,0
Jan-93,Manitoba,2016A000246,Net sales of gasoline,Litres,203,thousands,3,v74762,8.1,94582,,,,0
Jan-93,Manitoba,2016A000246,Gross sales of gasoline,Litres,203,thousands,3,v74775,8.2,104095,,,,0
Jan-93,Saskatchewan,2016A000247,Net sales of gasoline,Litres,203,thousands,3,v74763,9.1,111405,,,,0
Jan-93,Saskatchewan,2016A000247,Gross sales of gasoline,Litres,203,thousands,3,v74776,9.2,113361,,,,0
Jan-93,Alberta,2016A000248,Net sales of gasoline,Litres,203,thousands,3,v74764,10.1,307000,,,,0
Jan-93,Alberta,2016A000248,Gross sales of gasoline,Litres,203,thousands,3,v74777,10.2,337800,,,,0
Jan-93,British Columbia,2016A000259,Net sales of gasoline,Litres,203,thousands,3,v74754,11.1,263175,,,,0
Jan-93,British Columbia,2016A000259,Gross sales of gasoline,Litres,203,thousands,3,v74767,11.2,270508,,,,0
Jan-93,Yukon,2016A000260,Net sales of gasoline,Litres,203,thousands,3,v74755,12.1,3257,,,,0
Jan-93,Yukon,2016A000260,Gross sales of gasoline,Litres,203,thousands,3,v74768,12.2,3451,,,,0
Jan-93,Northwest Territories including Nunavut,2011A000261,Net sales of gasoline,Litres,203,thousands,3,v74756,13.1,2430,,,t,0
Jan-93,Northwest Territories including Nunavut,2011A000261,Gross sales of gasoline,Litres,203,thousands,3,v74769,13.2,3856,,,t,0
Feb-93,Canada,2016A000011124,Net sales of gasoline,Litres,203,thousands,3,v74752,1.1,2373299,,,,0
Feb-93,Canada,2016A000011124,Gross sales of gasoline,Litres,203,thousands,3,v74765,1.2,2454535,,,,0
Feb-93,Newfoundland and Labrador,2016A000210,Net sales of gasoline,Litres,203,thousands,3,v74753,2.1,43221,,,,0
Feb-93,Newfoundland and Labrador,2016A000210,Gross sales of gasoline,Litres,203,thousands,3,v74766,2.2,44235,,,,0
Feb-93,Prince Edward Island,2016A000211,Net sales of gasoline,Litres,203,thousands,3,v74757,3.1,12048,,,,0
Feb-93,Prince Edward Island,2016A000211,Gross sales of gasoline,Litres,203,thousands,3,v74770,3.2,12156,,,,0
Feb-93,Nova Scotia,2016A000212,Net sales of gasoline,Litres,203,thousands,3,v74758,4.1,78235,,,,0
Feb-93,Nova Scotia,2016A000212,Gross sales of gasoline,Litres,203,thousands,3,v74771,4.2,79143,,,,0
Feb-93,New Brunswick,2016A000213,Net sales of gasoline,Litres,203,thousands,3,v74759,5.1,69218,,,,0
Feb-93,New Brunswick,2016A000213,Gross sales of gasoline,Litres,203,thousands,3,v74772,5.2,69650,,,,0
Feb-93,Quebec,2016A000224,Net sales of gasoline,Litres,203,thousands,3,v74760,6.1,538850,,,,0
Feb-93,Quebec,2016A000224,Gross sales of gasoline,Litres,203,thousands,3,v74773,6.2,554491,,,,0
Feb-93,Ontario,2016A000235,Net sales of gasoline,Litres,203,thousands,3,v74761,7.1,870119,,,,0
Feb-93,Ontario,2016A000235,Gross sales of gasoline,Litres,203,thousands,3,v74774,7.2,886146,,,,0
Feb-93,Manitoba,2016A000246,Net sales of gasoline,Litres,203,thousands,3,v74762,8.1,93661,,,,0
Feb-93,Manitoba,2016A000246,Gross sales of gasoline,Litres,203,thousands,3,v74775,8.2,102790,,,,0
Feb-93,Saskatchewan,2016A000247,Net sales of gasoline,Litres,203,thousands,3,v74763,9.1,98038,,,,0
Feb-93,Saskatchewan,2016A000247,Gross sales of gasoline,Litres,203,thousands,3,v74776,9.2,101258,,,,0
Feb-93,Alberta,2016A000248,Net sales of gasoline,Litres,203,thousands,3,v74764,10.1,297800,,,,0
Feb-93,Alberta,2016A000248,Gross sales of gasoline,Litres,203,thousands,3,v74777,10.2,322700,,,,0
Feb-93,British Columbia,2016A000259,Net sales of gasoline,Litres,203,thousands,3,v74754,11.1,266268,,,,0
Feb-93,British Columbia,2016A000259,Gross sales of gasoline,Litres,203,thousands,3,v74767,11.2,274416,,,,0
Feb-93,Yukon,2016A000260,Net sales of gasoline,Litres,203,thousands,3,v74755,12.1,274416,,,,0
Feb-93,Yukon,2016A000260,Gross sales of gasoline,Litres,203,thousands,3,v74768,12.2,274416,,,,0
Feb-93,Northwest Territories including Nunavut,2011A000261,Net sales of gasoline,Litres,203,thousands,3,v74756,13.1,274416,,,t,0
Feb-93,Northwest Territories including Nunavut,2011A000261,Gross sales of gasoline,Litres,203,thousands,3,v74769,13.2,274416,,,t,0
Mar-93,Canada,2016A000011124,Net sales of gasoline,Litres,203,thousands,3,v74752,1.1,274416,,,,0
Mar-93,Canada,2016A000011124,Gross sales of gasoline,Litres,203,thousands,3,v74765,1.2,274416,,,,0
Mar-93,Newfoundland and Labrador,2016A000210,Net sales of gasoline,Litres,203,thousands,3,v74753,2.1,274416,,,,0
Mar-93,Newfoundland and Labrador,2016A000210,Gross sales of gasoline,Litres,203,thousands,3,v74766,2.2,274416,,,,0
Mar-93,Prince Edward Island,2016A000211,Net sales of gasoline,Litres,203,thousands,3,v74757,3.1,274416,,,,0
Mar-93,Prince Edward Island,2016A000211,Gross sales of gasoline,Litres,203,thousands,3,v74770,3.2,274416,,,,0
Mar-93,Nova Scotia,2016A000212,Net sales of gasoline,Litres,203,thousands,3,v74758,4.1,274416,,,,0
Mar-93,Nova Scotia,2016A000212,Gross sales of gasoline,Litres,203,thousands,3,v74771,4.2,274416,,,,0
Mar-93,New Brunswick,2016A000213,Net sales of gasoline,Litres,203,thousands,3,v74759,5.1,274416,,,,0
Mar-93,New Brunswick,2016A000213,Gross sales of gasoline,Litres,203,thousands,3,v74772,5.2,274416,,,,0
Mar-93,Quebec,2016A000224,Net sales of gasoline,Litres,203,thousands,3,v74760,6.1,274416,,,,0
Mar-93,Quebec,2016A000224,Gross sales of gasoline,Litres,203,thousands,3,v74773,6.2,274416,,,,0
Mar-93,Ontario,2016A000235,Net sales of gasoline,Litres,203,thousands,3,v74761,7.1,274416,,,,0
Mar-93,Ontario,2016A000235,Gross sales of gasoline,Litres,203,thousands,3,v74774,7.2,274416,,,,0
Mar-93,Manitoba,2016A000246,Net sales of gasoline,Litres,203,thousands,3,v74762,8.1,274416,,,,0
Mar-93,Manitoba,2016A000246,Gross sales of gasoline,Litres,203,thousands,3,v74775,8.2,274416,,,,0
Mar-93,Saskatchewan,2016A000247,Net sales of gasoline,Litres,203,thousands,3,v74763,9.1,274416,,,,0
Mar-93,Saskatchewan,2016A000247,Gross sales of gasoline,Litres,203,thousands,3,v74776,9.2,274416,,,,0
Mar-93,Alberta,2016A000248,Net sales of gasoline,Litres,203,thousands,3,v74764,10.1,274416,,,,0
Mar-93,Alberta,2016A000248,Gross sales of gasoline,Litres,203,thousands,3,v74777,10.2,274416,,,,0
Mar-93,British Columbia,2016A000259,Net sales of gasoline,Litres,203,thousands,3,v74754,11.1,274416,,,,0
Mar-93,British Columbia,2016A000259,Gross sales of gasoline,Litres,203,thousands,3,v74767,11.2,274416,,,,0
Mar-93,Yukon,2016A000260,Net sales of gasoline,Litres,203,thousands,3,v74755,12.1,274416,,,,0
Mar-93,Yukon,2016A000260,Gross sales of gasoline,Litres,203,thousands,3,v74768,12.2,274416,,,,0
Mar-93,Northwest Territories including Nunavut,2011A000261,Net sales of gasoline,Litres,203,thousands,3,v74756,13.1,274416,,,t,0
Mar-93,Northwest Territories including Nunavut,2011A000261,Gross sales of gasoline,Litres,203,thousands,3,v74769,13.2,274416,,,t,0
Apr-93,Canada,2016A000011124,Net sales of gasoline,Litres,203,thousands,3,v74752,1.1,274416,,,,0
Apr-93,Canada,2016A000011124,Gross sales of gasoline,Litres,203,thousands,3,v74765,1.2,274416,,,,0
Apr-93,Newfoundland and Labrador,2016A000210,Net sales of gasoline,Litres,203,thousands,3,v74753,2.1,274416,,,,0
Apr-93,Newfoundland and Labrador,2016A000210,Gross sales of gasoline,Litres,203,thousands,3,v74766,2.2,274416,,,,0
Apr-93,Prince Edward Island,2016A000211,Net sales of gasoline,Litres,203,thousands,3,v74757,3.1,274416,,,,0
Apr-93,Prince Edward Island,2016A000211,Gross sales of gasoline,Litres,203,thousands,3,v74770,3.2,274416,,,,0
Apr-93,Nova Scotia,2016A000212,Net sales of gasoline,Litres,203,thousands,3,v74758,4.1,274416,,,,0
Apr-93,Nova Scotia,2016A000212,Gross sales of gasoline,Litres,203,thousands,3,v74771,4.2,274416,,,,0
Apr-93,New Brunswick,2016A000213,Net sales of gasoline,Litres,203,thousands,3,v74759,5.1,274416,,,,0
Apr-93,New Brunswick,2016A000213,Gross sales of gasoline,Litres,203,thousands,3,v74772,5.2,274416,,,,0
Apr-93,Quebec,2016A000224,Net sales of gasoline,Litres,203,thousands,3,v74760,6.1,274416,,,,0
Apr-93,Quebec,2016A000224,Gross sales of gasoline,Litres,203,thousands,3,v74773,6.2,274416,,,,0
Apr-93,Ontario,2016A000235,Net sales of gasoline,Litres,203,thousands,3,v74761,7.1,274416,,,,0
Apr-93,Ontario,2016A000235,Gross sales of gasoline,Litres,203,thousands,3,v74774,7.2,274416,,,,0
Apr-93,Manitoba,2016A000246,Net sales of gasoline,Litres,203,thousands,3,v74762,8.1,274416,,,,0
Apr-93,Manitoba,2016A000246,Gross sales of gasoline,Litres,203,thousands,3,v74775,8.2,274416,,,,0
Apr-93,Saskatchewan,2016A000247,Net sales of gasoline,Litres,203,thousands,3,v74763,9.1,274416,,,,0
Apr-93,Saskatchewan,2016A000247,Gross sales of gasoline,Litres,203,thousands,3,v74776,9.2,274416,,,,0
Apr-93,Alberta,2016A000248,Net sales of gasoline,Litres,203,thousands,3,v74764,10.1,274416,,,,0
Apr-93,Alberta,2016A000248,Gross sales of gasoline,Litres,203,thousands,3,v74777,10.2,274416,,,,0
Apr-93,British Columbia,2016A000259,Net sales of gasoline,Litres,203,thousands,3,v74754,11.1,274416,,,,0
Apr-93,British Columbia,2016A000259,Gross sales of gasoline,Litres,203,thousands,3,v74767,11.2,274416,,,,0
Apr-93,Yukon,2016A000260,Net sales of gasoline,Litres,203,thousands,3,v74755,12.1,274416,,,,0
Apr-93,Yukon,2016A000260,Gross sales of gasoline,Litres,203,thousands,3,v74768,12.2,274416,,,,0
Apr-93,Northwest Territories including Nunavut,2011A000261,Net sales of gasoline,Litres,203,thousands,3,v74756,13.1,274416,,,t,0
Apr-93,Northwest Territories including Nunavut,2011A000261,Gross sales of gasoline,Litres,203,thousands,3,v74769,13.2,274416,,,t,0
May-93,Canada,2016A000011124,Net sales of gasoline,Litres,203,thousands,3,v74752,1.1,274416,,,,0
May-93,Canada,2016A000011124,Gross sales of gasoline,Litres,203,thousands,3,v74765,1.2,274416,,,,0
May-93,Newfoundland and Labrador,2016A000210,Net sales of gasoline,Litres,203,thousands,3,v74753,2.1,274416,,,,0
May-93,Newfoundland and Labrador,2016A000210,Gross sales of gasoline,Litres,203,thousands,3,v74766,2.2,274416,,,,0
May-93,Prince Edward Island,2016A000211,Net sales of gasoline,Litres,203,thousands,3,v74757,3.1,274416,,,,0
May-93,Prince Edward Island,2016A000211,Gross sales of gasoline,Litres,203,thousands,3,v74770,3.2,274416,,,,0
May-93,Nova Scotia,2016A000212,Net sales of gasoline,Litres,203,thousands,3,v74758,4.1,274416,,,,0
May-93,Nova Scotia,2016A000212,Gross sales of gasoline,Litres,203,thousands,3,v74771,4.2,274416,,,,0
May-93,New Brunswick,2016A000213,Net sales of gasoline,Litres,203,thousands,3,v74759,5.1,274416,,,,0
May-93,New Brunswick,2016A000213,Gross sales of gasoline,Litres,203,thousands,3,v74772,5.2,274416,,,,0
May-93,Quebec,2016A000224,Net sales of gasoline,Litres,203,thousands,3,v74760,6.1,274416,,,,0
May-93,Quebec,2016A000224,Gross sales of gasoline,Litres,203,thousands,3,v74773,6.2,274416,,,,0
May-93,Ontario,2016A000235,Net sales of gasoline,Litres,203,thousands,3,v74761,7.1,274416,,,,0
May-93,Ontario,2016A000235,Gross sales of gasoline,Litres,203,thousands,3,v74774,7.2,274416,,,,0
May-93,Manitoba,2016A000246,Net sales of gasoline,Litres,203,thousands,3,v74762,8.1,274416,,,,0
May-93,Manitoba,2016A000246,Gross sales of gasoline,Litres,203,thousands,3,v74775,8.2,274416,,,,0
May-93,Saskatchewan,2016A000247,Net sales of gasoline,Litres,203,thousands,3,v74763,9.1,274416,,,,0
May-93,Saskatchewan,2016A000247,Gross sales of gasoline,Litres,203,thousands,3,v74776,9.2,274416,,,,0
May-93,Alberta,2016A000248,Net sales of gasoline,Litres,203,thousands,3,v74764,10.1,274416,,,,0
May-93,Alberta,2016A000248,Gross sales of gasoline,Litres,203,thousands,3,v74777,10.2,274416,,,,0
May-93,British Columbia,2016A000259,Net sales of gasoline,Litres,203,thousands,3,v74754,11.1,274416,,,,0
May-93,British Columbia,2016A000259,Gross sales of gasoline,Litres,203,thousands,3,v74767,11.2,274416,,,,0
